System,"Hospital (Acc, Prec, F1)","Flights (Acc, Prec, F1)","Beers (Acc, Prec, F1)","Rayyan (Acc, Prec, F1)","Tax (Acc, Prec, F1)","IMDB (Acc, Prec, F1)"
GIDCL,"(0.95, 1.00, 0.98)","(0.95, 0.96, 0.96)","(0.99, 0.99, 0.99)","(0.98, 0.84, 0.90)","(0.98, 0.99, 0.98)","(0.89, 0.88, 0.88)"
GIDCL_offline,"(0.90, 0.96, 0.93)","(0.95, 0.95, 0.96)","(0.97, 0.99, 0.98)","(0.94, 0.76, 0.84)","(0.98, 0.99, 0.98)","(0.89, 0.88, 0.80)"
Raha,"(0.67, 0.96, 0.85)","(0.89, 0.93, 0.93)","(1.00, 1.00, 1.00)","(0.88, 0.88, 0.88)","(0.80, 0.77, 0.77)","(0.32, 0.28, 0.37)"
Rotom,"(0.94, 0.95, 0.95)","(0.61, 0.89, 0.73)","(0.93, 0.91, 0.95)","(0.88, 0.26, 0.40)","(1.00, 0.60, 0.75)","(0.29, 0.17, 0.23)"
Roberta_det,"(0.97, 0.87, 0.92)","(0.64, 0.47, 0.55)","(0.97, 0.99, 0.98)","(0.94, 0.66, 0.77)","(0.66, 0.77, 0.70)","(1.00, 0.18, 0.30)"
JellyFish,"(0.91, 0.87, 0.89)","(0.67, 0.85, 0.75)","(0.75, 0.89, 0.81)","(0.72, 0.66, 0.69)","(0.75, 0.87, 0.79)","(0.38, 0.25, 0.33)"
